id,gender,hourwnit,hourwend,qualslp
417,female,6,6,5
423,female,7,8,2
244,male,6,6,3
517,female,4,4,2
428,female,4.5,4.5,4
414,male,7,7,6
276,male,8,8,4
57,female,7,8,5
1,male,7,8,4
426,male,5.5,5.5,4
519,female,6,6,5
204,male,7,9,4
275,female,8,8,
24,male,6,7,5
20,male,6,7,4
508,male,7,7,
2,female,6.5,8,3
424,female,9,9,6
279,female,6,7,5
427,male,6.5,6.5,4
14,female,6.5,7.5,2
419,male,7,8,4
289,female,6,6.5,2
60,male,8,8,1
63,male,6,7,2
62,female,6,8,4
534,male,9,9,4
521,female,7,7,2
